IDD,CODE,ID,MH,NAME
10000015033,1,0000015033,1,COLONIAL NB USA               
10000022559,1,0000022559,1,FIRST UNION HOME EQUITY BK NA 
133-0536622,1,33-0536622,1,OPTION ONE MORT CORP          
159-2645397,1,59-2645397,1,ALTEGRA CREDIT COMPANY        
20000612618,2,0000612618,1,PROVIDENT BK                  
20000765578,2,0000765578,1,BANC ONE FINANCIAL SERVICES   
20000943518,2,0000943518,1,PROVIDENT BK OF KY            
20001035698,2,0001035698,1,"CIT GROUP/CONSUMER FINANCE,INC"
20001999138,2,0001999138,1,"CIT GROUP/CONSUMER FINANCE,INC"
20002036450,2,0002036450,1,EQUICREDIT CORP OF AMER       
20002142959,2,0002142959,1,NATIONSCRE HOME EQUITY SERVICE
30000025147,3,0000025147,1,SERVCO FNCL CORP              
30000025653,3,0000025653,1,FREMONT INVESTMENT & LOAN     
30000025870,3,0000025870,1,FINANCE & THRIFT CO           
30000026363,3,0000026363,1,COMMUNITY T&LA                
30000027415,3,0000027415,1,PACIFIC T&LC                  
362-1376832,3,62-1376832,1,SOUTHERN FINANCIAL INC        
364-0838616,3,64-0838616,1,HANCOCK MORTGAGE CORP         
40000004592,4,0000004592,1,OCWEN FEDERAL BANK FSB        
40000006194,4,0000006194,1,"HOUSEHOLD BANK, FSB           "
40000007645,4,0000007645,1,"WESTERN FINANCIAL BANK, F.S.B."
40000007946,4,0000007946,1,"LIFE SAVINGS BANK, F.S.B.     "
40000008051,4,0000008051,1,"BAY FINANCIAL SAVINGS BANK, F."
40000008327,4,0000008327,1,"OCEANMARK BANK, A FSB         "
40000008566,4,0000008566,1,SUPERIOR BANK FSB             
40000011968,4,0000011968,1,"PAN AMERICAN BANK, FSB        "
70232433020,7,0232433020,1,"MOREQUITY, INC (DE)           "
70351925329,7,0351925329,1,"MOREQUITY, INC (CA)           "
70458600405,7,0458600405,1,WEYERHAESER MORTGAGE COMPANY  
705-0416938,7,05-0416938,1,SECURITY FUNDING CORP.        
70510312284,7,0510312284,1,"MOREQUITY, INC (NV)           "
70522009990,7,0522009990,1,NATIONAL MORTGAGE CORPORATION 
70541664826,7,0541664826,1,APPROVED RESIDENTIAL MORTGAGE 
70951428083,7,0951428083,1,TRANSAMERICA FINANCIAL SERV.  
713-2530491,7,13-2530491,1,"AVCO FINANCIAL SERVICES, INC. "
